State,District,Crop,Season,SowingMonth,Area(ha),N(kg/ha),P(kg/ha),K(kg/ha),SoilType,AnnualRainfall(mm),AvgTemperature(C),Yield(t/ha)
Andhra Pradesh,Nellore,Tomato,Rabi,April,5.58,120,77,46,Black,622,26.0,200.64
West Bengal,Kolkata,Wheat,Zaid,May,4.35,151,80,58,Clay,409,32.2,27.16
West Bengal,Kolkata,Cotton,Annual,August,7.82,195,39,82,Red,917,26.4,41.24
Maharashtra,Pune,Corn,Annual,July,6.45,75,95,98,Black,1147,31.2,39.03
Tamil Nadu,Madurai,Sugarcane,Rabi,July,6.91,183,51,20,Sandy,821,29.8,371.82
Uttar Pradesh,Kanpur,Rice,Kharif,July,6.41,169,99,66,Clay,784,22.2,39.95
Punjab,Amritsar,Rice,Rabi,February,5.78,80,57,31,Loamy,519,21.2,22.41
Punjab,Amritsar,Cotton,Annual,March,9.77,94,59,20,Sandy,492,23.8,25.45
Karnataka,Belgaum,Corn,Kharif,March,7.48,89,63,94,Red,1067,29.0,30.15
West Bengal,Darjeeling,Cotton,Rabi,June,1.89,163,83,49,Black,1099,23.1,40.42
West Bengal,Kolkata,Tomato,Kharif,March,2.96,142,39,55,Sandy,521,26.4,185.62
West Bengal,Kolkata,Tomato,Zaid,May,9.14,105,95,55,Loamy,836,25.5,207.99
Karnataka,Mandya,Wheat,Zaid,August,3.52,136,70,74,Red,547,24.2,32.88
Tamil Nadu,Thanjavur,Wheat,Kharif,November,9.92,52,50,91,Clay,769,34.8,29.47
Karnataka,Mandya,Sugarcane,Rabi,September,8.33,163,91,81,Sandy,1178,33.7,358.48
Tamil Nadu,Salem,Rice,Annual,January,2.1,85,82,69,Sandy,466,21.3,26.68
Karnataka,Mysore,Corn,Rabi,May,6.41,100,93,75,Clay,1112,32.5,42.38
Andhra Pradesh,Nellore,Cotton,Zaid,November,10.0,92,40,76,Loamy,550,30.6,33.48
Uttar Pradesh,Varanasi,Tomato,Zaid,December,8.75,121,54,58,Red,1000,33.7,158.19
Uttar Pradesh,Kanpur,Wheat,Annual,December,1.76,111,31,85,Clay,1189,34.8,29.31
West Bengal,Howrah,Corn,Annual,September,8.9,131,73,91,Loamy,443,31.4,39.3
Tamil Nadu,Salem,Cotton,Annual,July,3.12,120,48,40,Clay,1096,34.0,31.83
Tamil Nadu,Salem,Cotton,Zaid,July,8.69,181,83,60,Black,1144,26.7,42.12
Maharashtra,Pune,Corn,Rabi,December,4.89,58,72,42,Loamy,1141,27.1,27.84
West Bengal,Darjeeling,Rice,Annual,September,7.59,124,84,72,Loamy,703,22.6,33.43
Tamil Nadu,Thanjavur,Sugarcane,Rabi,August,6.4,102,37,34,Loamy,763,30.4,288.94
Uttar Pradesh,Varanasi,Corn,Zaid,August,3.37,171,73,29,Loamy,746,30.9,37.38
Tamil Nadu,Madurai,Corn,Rabi,May,4.79,139,56,85,Clay,745,33.7,27.58
West Bengal,Kolkata,Sugarcane,Annual,February,3.14,190,34,39,Sandy,605,21.7,295.16
Uttar Pradesh,Varanasi,Sugarcane,Rabi,November,2.26,172,45,70,Loamy,633,29.0,380.37
Uttar Pradesh,Varanasi,Corn,Rabi,August,4.47,122,85,87,Loamy,1102,27.0,40.05
Uttar Pradesh,Kanpur,Sugarcane,Zaid,November,7.56,187,84,92,Red,762,26.5,442.98
Punjab,Amritsar,Sugarcane,Zaid,June,2.68,85,99,20,Loamy,1089,23.4,297.36
Tamil Nadu,Madurai,Wheat,Kharif,December,7.53,195,93,70,Black,620,23.4,44.39
Karnataka,Mysore,Tomato,Annual,November,7.76,188,58,41,Clay,582,32.5,239.02
West Bengal,Darjeeling,Corn,Annual,December,3.37,196,47,69,Sandy,810,26.9,32.32
Tamil Nadu,Thanjavur,Rice,Annual,October,6.38,100,75,30,Black,1120,32.3,32.66
Uttar Pradesh,Varanasi,Corn,Kharif,April,9.34,66,87,22,Clay,922,27.9,26.03
Uttar Pradesh,Kanpur,Tomato,Annual,September,3.12,187,84,91,Red,1113,21.4,289.43
Uttar Pradesh,Lucknow,Rice,Zaid,January,5.68,151,40,34,Clay,1128,33.7,31.21
Karnataka,Mandya,Cotton,Annual,February,3.4,176,76,63,Clay,707,33.3,40.54
Tamil Nadu,Madurai,Cotton,Kharif,August,5.32,150,80,71,Black,425,21.4,39.34
Andhra Pradesh,Guntur,Rice,Kharif,July,5.35,103,63,76,Red,755,33.9,31.78
Tamil Nadu,Thanjavur,Tomato,Rabi,November,5.39,187,36,46,Black,1121,28.2,192.86
Tamil Nadu,Madurai,Tomato,Rabi,October,9.43,196,55,35,Clay,758,22.4,219.98
West Bengal,Howrah,Cotton,Rabi,February,9.46,165,71,24,Clay,669,21.9,35.23
West Bengal,Darjeeling,Corn,Zaid,December,5.31,170,69,80,Red,647,33.2,41.28
West Bengal,Kolkata,Sugarcane,Kharif,April,1.24,190,69,57,Loamy,575,26.4,392.96
Uttar Pradesh,Varanasi,Wheat,Rabi,October,1.79,183,84,52,Sandy,1104,21.4,34.23
West Bengal,Howrah,Cotton,Zaid,May,4.59,126,88,39,Red,774,24.1,29.64
Maharashtra,Nashik,Tomato,Annual,January,9.03,152,52,48,Red,853,30.9,173.38
Maharashtra,Nagpur,Corn,Rabi,June,8.78,93,39,85,Loamy,1127,28.3,35.3
Maharashtra,Nashik,Sugarcane,Kharif,March,1.01,170,89,65,Clay,1020,27.7,339.3
Maharashtra,Nashik,Rice,Kharif,March,1.95,157,54,71,Black,866,34.8,34.87
Maharashtra,Nagpur,Tomato,Kharif,March,8.18,90,96,89,Loamy,988,29.8,242.04
Tamil Nadu,Thanjavur,Wheat,Zaid,September,6.02,111,76,87,Sandy,1106,25.3,30.04
West Bengal,Howrah,Rice,Rabi,April,4.04,106,88,85,Clay,937,22.2,40.88
Karnataka,Mysore,Corn,Zaid,September,3.75,114,46,50,Black,588,27.7,27.38
Tamil Nadu,Madurai,Rice,Kharif,April,7.58,156,54,84,Black,1165,20.7,39.42
Karnataka,Mysore,Tomato,Kharif,December,4.0,179,84,73,Clay,831,24.0,282.67
Tamil Nadu,Salem,Wheat,Annual,June,7.29,199,65,21,Sandy,919,23.6,38.03
Punjab,Amritsar,Sugarcane,Kharif,April,5.2,162,58,50,Red,502,28.5,318.4
Tamil Nadu,Salem,Cotton,Kharif,September,4.56,118,79,30,Loamy,953,23.5,27.0
West Bengal,Howrah,Sugarcane,Annual,November,5.7,135,41,64,Loamy,678,21.2,279.91
Andhra Pradesh,Guntur,Sugarcane,Kharif,May,9.01,152,41,35,Clay,948,31.4,350.91
Andhra Pradesh,Nellore,Tomato,Zaid,June,9.75,163,41,34,Sandy,620,29.6,217.3
Punjab,Amritsar,Cotton,Annual,February,2.68,184,80,23,Loamy,811,24.1,39.86
West Bengal,Kolkata,Wheat,Kharif,March,5.78,91,66,67,Clay,646,23.2,27.61
West Bengal,Darjeeling,Rice,Rabi,September,6.71,57,46,49,Clay,783,27.9,20.44
Tamil Nadu,Thanjavur,Tomato,Annual,June,6.68,72,59,66,Clay,581,29.1,163.89
West Bengal,Darjeeling,Wheat,Annual,March,5.79,102,47,80,Red,1186,23.6,33.54
Karnataka,Belgaum,Tomato,Zaid,July,4.38,97,31,36,Clay,940,27.4,121.14
Tamil Nadu,Madurai,Tomato,Kharif,July,8.17,54,91,89,Loamy,415,34.6,175.85
Karnataka,Mysore,Rice,Rabi,January,2.51,182,63,44,Clay,1067,24.8,33.84
Punjab,Ludhiana,Tomato,Kharif,March,9.88,134,39,58,Sandy,628,24.3,203.62
Tamil Nadu,Thanjavur,Cotton,Annual,May,3.39,193,91,84,Sandy,631,26.6,33.34
Punjab,Patiala,Cotton,Annual,August,6.76,85,77,21,Sandy,588,21.7,28.69
Uttar Pradesh,Lucknow,Cotton,Kharif,December,1.63,63,40,32,Clay,1096,22.8,19.78
Uttar Pradesh,Varanasi,Sugarcane,Rabi,April,3.48,81,74,67,Black,1055,22.0,338.38
West Bengal,Darjeeling,Cotton,Zaid,December,5.23,164,88,98,Loamy,726,24.8,47.86
West Bengal,Howrah,Cotton,Annual,October,9.65,188,43,94,Sandy,873,28.6,36.16
Uttar Pradesh,Varanasi,Sugarcane,Rabi,August,3.92,80,80,33,Red,617,22.8,230.34
Tamil Nadu,Thanjavur,Sugarcane,Kharif,April,1.44,138,53,96,Loamy,523,25.8,379.56
Andhra Pradesh,Nellore,Rice,Annual,January,4.51,103,52,46,Clay,522,31.0,21.64
Maharashtra,Nagpur,Wheat,Kharif,November,1.11,195,79,50,Black,566,32.2,39.51
Andhra Pradesh,Guntur,Wheat,Zaid,September,6.29,159,42,28,Black,515,23.5,28.95
West Bengal,Kolkata,Cotton,Zaid,December,1.5,160,100,73,Clay,449,32.8,36.52
West Bengal,Darjeeling,Rice,Rabi,July,1.37,90,81,68,Sandy,1199,22.8,30.87
Maharashtra,Nagpur,Sugarcane,Annual,August,2.05,104,58,96,Black,631,29.0,245.21
West Bengal,Howrah,Cotton,Annual,March,4.43,153,72,66,Black,1021,23.1,29.3
Andhra Pradesh,Nellore,Cotton,Rabi,March,3.55,65,49,25,Clay,711,21.2,16.85
Andhra Pradesh,Nellore,Cotton,Zaid,January,1.78,163,34,42,Loamy,613,25.2,27.64
Uttar Pradesh,Lucknow,Corn,Kharif,January,5.51,189,43,97,Red,563,32.4,40.85
Tamil Nadu,Madurai,Wheat,Rabi,April,5.26,76,46,99,Sandy,860,24.2,26.55
West Bengal,Kolkata,Corn,Rabi,October,1.16,61,79,57,Sandy,748,34.2,19.91
Karnataka,Mysore,Wheat,Annual,October,5.92,161,76,66,Sandy,1181,33.0,31.83
Karnataka,Mandya,Cotton,Zaid,September,8.8,139,82,59,Red,407,22.8,30.93
Punjab,Patiala,Cotton,Rabi,October,10.0,166,52,71,Sandy,455,34.7,32.03
Andhra Pradesh,Guntur,Wheat,Annual,April,1.37,194,67,91,Loamy,1043,22.5,45.04
Andhra Pradesh,Nellore,Corn,Zaid,April,5.04,96,80,47,Red,1064,25.6,31.36
Tamil Nadu,Salem,Cotton,Zaid,July,9.78,188,86,77,Clay,894,22.4,40.81
Maharashtra,Pune,Wheat,Zaid,January,1.09,51,88,100,Black,571,25.6,23.45
Karnataka,Mandya,Tomato,Annual,February,8.08,183,53,82,Sandy,799,29.7,257.09
Andhra Pradesh,Kurnool,Rice,Annual,March,1.7,185,81,20,Loamy,780,27.0,39.7
Uttar Pradesh,Lucknow,Tomato,Kharif,October,3.69,124,46,37,Loamy,458,22.6,145.52
Karnataka,Mysore,Cotton,Kharif,July,1.74,158,90,36,Clay,448,21.4,29.09
Punjab,Amritsar,Tomato,Rabi,October,6.07,160,71,45,Loamy,457,22.1,182.53
Punjab,Patiala,Sugarcane,Rabi,January,3.61,176,85,40,Loamy,858,26.7,409.77
Uttar Pradesh,Lucknow,Corn,Annual,November,4.17,171,75,82,Loamy,577,20.6,38.12
West Bengal,Darjeeling,Cotton,Zaid,August,2.21,123,62,93,Black,435,32.3,35.97
Uttar Pradesh,Varanasi,Cotton,Rabi,December,2.07,137,87,86,Loamy,433,32.4,33.05
Karnataka,Mysore,Rice,Zaid,December,7.46,161,30,72,Loamy,472,32.5,31.56
West Bengal,Howrah,Wheat,Zaid,October,7.58,65,99,81,Sandy,670,26.5,28.65
Uttar Pradesh,Lucknow,Cotton,Rabi,June,4.01,99,98,51,Sandy,1196,23.4,38.71
Punjab,Ludhiana,Wheat,Annual,February,5.95,142,41,40,Black,487,22.5,28.24
Tamil Nadu,Madurai,Rice,Kharif,May,6.9,190,41,71,Loamy,1151,22.5,38.63
Andhra Pradesh,Nellore,Rice,Kharif,August,8.05,125,60,97,Clay,1074,32.9,35.42
Karnataka,Belgaum,Wheat,Rabi,April,7.9,126,95,46,Clay,1126,20.9,41.34
Uttar Pradesh,Varanasi,Wheat,Zaid,September,6.79,76,77,51,Red,765,33.7,22.63
Karnataka,Mandya,Wheat,Annual,December,5.6,91,84,80,Clay,878,23.5,38.03
Maharashtra,Nagpur,Wheat,Annual,February,3.54,50,88,20,Clay,838,21.7,24.35
Karnataka,Mandya,Rice,Zaid,September,3.21,80,73,20,Sandy,1112,25.4,24.81
Andhra Pradesh,Nellore,Rice,Kharif,June,9.18,75,80,20,Loamy,437,23.8,19.53
Uttar Pradesh,Varanasi,Tomato,Rabi,June,4.75,52,80,92,Loamy,562,27.9,150.99
Andhra Pradesh,Guntur,Corn,Kharif,August,9.58,122,59,47,Clay,668,22.2,31.18
Karnataka,Mysore,Corn,Kharif,April,8.73,70,46,48,Sandy,611,20.6,22.51
West Bengal,Howrah,Rice,Kharif,December,2.6,69,72,45,Black,535,33.9,19.6
West Bengal,Darjeeling,Wheat,Kharif,July,6.0,91,66,71,Sandy,1042,33.8,28.42
Maharashtra,Nagpur,Cotton,Zaid,July,7.18,99,41,93,Sandy,864,25.4,34.97
West Bengal,Darjeeling,Cotton,Rabi,November,4.02,127,77,54,Red,962,22.8,26.72
Uttar Pradesh,Varanasi,Cotton,Rabi,June,9.1,73,63,71,Sandy,838,29.6,26.68
Uttar Pradesh,Kanpur,Wheat,Zaid,February,6.56,167,44,27,Clay,1182,27.4,29.09
Karnataka,Mysore,Cotton,Kharif,February,7.97,121,96,66,Sandy,619,23.4,33.52
Andhra Pradesh,Kurnool,Corn,Kharif,June,3.5,182,37,36,Red,616,21.5,27.18
West Bengal,Howrah,Sugarcane,Annual,August,4.05,172,76,44,Red,461,30.7,273.32
Punjab,Patiala,Sugarcane,Annual,October,5.48,70,70,34,Clay,513,24.1,182.25
Tamil Nadu,Thanjavur,Wheat,Annual,October,5.83,102,94,91,Sandy,533,21.8,36.89
Punjab,Amritsar,Cotton,Rabi,May,8.0,139,69,35,Black,855,24.0,33.4
Punjab,Patiala,Corn,Zaid,November,2.77,119,33,55,Red,559,27.2,29.66
Maharashtra,Nagpur,Tomato,Zaid,October,7.84,153,54,63,Loamy,878,29.3,252.12
Andhra Pradesh,Kurnool,Sugarcane,Rabi,July,1.17,198,62,26,Loamy,704,20.6,353.91
Maharashtra,Nagpur,Cotton,Zaid,April,5.59,98,50,28,Clay,831,29.2,23.75
Uttar Pradesh,Varanasi,Cotton,Kharif,July,1.9,105,82,78,Sandy,431,26.1,32.6
Andhra Pradesh,Kurnool,Rice,Zaid,October,2.39,69,35,97,Sandy,1055,26.4,26.61
Tamil Nadu,Thanjavur,Wheat,Rabi,September,7.38,126,34,30,Black,1166,20.2,31.25
Punjab,Ludhiana,Rice,Rabi,March,9.79,177,57,77,Clay,685,27.9,32.04
Karnataka,Belgaum,Sugarcane,Kharif,October,1.93,179,73,77,Red,985,20.9,392.58
Tamil Nadu,Madurai,Wheat,Rabi,July,5.4,196,69,46,Red,463,30.4,30.45
Uttar Pradesh,Lucknow,Wheat,Rabi,August,2.51,66,33,23,Loamy,957,32.7,20.14
West Bengal,Kolkata,Rice,Kharif,November,6.38,156,52,48,Red,619,33.8,34.56
Tamil Nadu,Thanjavur,Wheat,Rabi,December,3.14,76,99,42,Sandy,610,25.1,25.07
Tamil Nadu,Thanjavur,Wheat,Rabi,July,8.36,119,100,65,Red,697,27.9,36.93
West Bengal,Kolkata,Tomato,Kharif,October,2.8,177,44,60,Clay,981,30.5,199.33
Karnataka,Mysore,Corn,Zaid,March,1.23,139,30,81,Clay,602,21.2,26.66
Tamil Nadu,Salem,Rice,Kharif,January,4.05,119,92,100,Clay,627,25.4,32.77
Punjab,Ludhiana,Wheat,Zaid,March,9.74,184,80,22,Black,1173,32.0,31.61
Uttar Pradesh,Kanpur,Cotton,Zaid,June,6.01,55,75,96,Loamy,489,30.3,22.68
Punjab,Ludhiana,Wheat,Rabi,July,8.23,54,93,67,Sandy,625,31.1,22.97
West Bengal,Darjeeling,Sugarcane,Kharif,March,6.98,129,47,80,Loamy,1145,20.8,413.91
West Bengal,Darjeeling,Sugarcane,Zaid,June,3.68,112,44,96,Red,958,29.8,361.07
Karnataka,Mysore,Corn,Kharif,January,2.06,59,33,90,Clay,495,27.1,22.61
Uttar Pradesh,Lucknow,Corn,Annual,October,7.14,83,39,34,Loamy,1098,28.1,29.33
Maharashtra,Nagpur,Tomato,Zaid,November,6.2,70,42,76,Clay,1162,29.2,197.5
Maharashtra,Nashik,Tomato,Zaid,August,1.53,68,49,39,Loamy,651,24.3,117.97
Punjab,Patiala,Sugarcane,Zaid,March,4.78,60,99,55,Sandy,1090,21.8,285.27
Maharashtra,Pune,Rice,Rabi,November,3.51,53,56,88,Black,931,25.1,27.86
Tamil Nadu,Thanjavur,Cotton,Rabi,November,3.84,147,82,88,Red,926,21.9,42.95
Tamil Nadu,Thanjavur,Cotton,Annual,July,1.17,194,91,80,Sandy,1164,28.1,39.09
Andhra Pradesh,Guntur,Corn,Rabi,May,1.63,57,54,28,Red,1106,21.2,20.06
Tamil Nadu,Salem,Wheat,Rabi,September,7.0,136,72,39,Loamy,785,26.4,32.19
Andhra Pradesh,Kurnool,Wheat,Kharif,August,7.07,157,89,44,Red,585,34.1,41.13
Uttar Pradesh,Kanpur,Corn,Annual,July,5.58,199,37,74,Loamy,1077,32.7,31.7
Andhra Pradesh,Guntur,Rice,Kharif,February,4.82,160,40,33,Black,835,28.5,27.01
Maharashtra,Pune,Tomato,Kharif,June,3.14,96,46,53,Sandy,1036,22.2,132.15
Tamil Nadu,Madurai,Rice,Kharif,December,4.52,198,90,61,Clay,514,32.5,39.86
Tamil Nadu,Madurai,Wheat,Zaid,February,2.56,188,42,25,Loamy,824,24.3,34.02
Punjab,Amritsar,Cotton,Rabi,June,2.39,123,40,94,Clay,542,20.2,26.96
Karnataka,Belgaum,Wheat,Zaid,August,3.36,140,58,22,Clay,805,34.4,32.73
West Bengal,Darjeeling,Corn,Rabi,September,1.25,63,98,91,Sandy,992,31.4,24.98
Tamil Nadu,Thanjavur,Cotton,Kharif,January,5.28,193,37,82,Red,487,21.9,36.83
Uttar Pradesh,Lucknow,Wheat,Rabi,February,9.53,58,98,84,Sandy,630,34.7,34.77
West Bengal,Howrah,Corn,Annual,October,5.33,145,70,87,Clay,856,25.8,43.16
West Bengal,Kolkata,Tomato,Zaid,August,1.91,189,82,68,Clay,531,20.0,241.18
Tamil Nadu,Madurai,Sugarcane,Zaid,May,6.0,125,77,41,Loamy,614,24.4,349.78
Uttar Pradesh,Kanpur,Sugarcane,Annual,September,2.73,131,46,55,Sandy,414,33.9,267.81
Karnataka,Belgaum,Tomato,Zaid,May,8.77,170,41,75,Sandy,690,30.3,202.66
Punjab,Ludhiana,Wheat,Annual,March,5.59,152,36,88,Clay,1164,29.7,40.67
West Bengal,Darjeeling,Corn,Rabi,November,4.02,194,32,91,Black,904,25.8,35.17
Maharashtra,Nagpur,Rice,Annual,November,3.87,80,46,95,Loamy,1099,29.8,34.59
Uttar Pradesh,Varanasi,Tomato,Zaid,November,2.29,97,30,44,Clay,1189,27.2,131.53
Uttar Pradesh,Lucknow,Cotton,Kharif,May,3.93,157,75,46,Loamy,552,25.2,37.11
Karnataka,Belgaum,Cotton,Kharif,March,8.41,84,87,29,Black,613,32.8,30.01
Andhra Pradesh,Kurnool,Cotton,Rabi,October,9.54,181,54,98,Loamy,424,28.6,43.16
Andhra Pradesh,Nellore,Cotton,Annual,January,6.57,124,34,33,Black,1143,26.7,28.73
Punjab,Ludhiana,Tomato,Kharif,July,4.46,107,81,57,Black,1048,20.6,162.88
Tamil Nadu,Madurai,Corn,Annual,November,1.16,142,35,30,Red,1111,27.0,26.13
Andhra Pradesh,Kurnool,Wheat,Kharif,January,6.46,195,47,81,Sandy,1173,21.8,42.59
Maharashtra,Nashik,Tomato,Kharif,September,1.75,120,75,70,Sandy,451,26.5,172.04
Karnataka,Belgaum,Rice,Kharif,May,4.08,75,68,58,Black,428,30.9,27.15
Andhra Pradesh,Nellore,Sugarcane,Zaid,November,4.11,159,43,83,Red,696,23.3,283.76
Maharashtra,Nashik,Rice,Zaid,September,3.42,167,30,53,Clay,570,32.2,29.51
Andhra Pradesh,Guntur,Tomato,Zaid,December,7.88,52,73,49,Sandy,403,34.3,134.17
Andhra Pradesh,Nellore,Rice,Annual,November,8.93,108,30,54,Loamy,1060,28.0,28.06
Tamil Nadu,Madurai,Cotton,Zaid,September,2.28,177,95,35,Loamy,1065,33.8,39.62
Punjab,Amritsar,Wheat,Rabi,October,7.84,117,96,71,Loamy,544,20.6,41.56
West Bengal,Kolkata,Wheat,Annual,July,4.25,112,74,51,Red,806,21.4,31.45
Karnataka,Mandya,Sugarcane,Zaid,July,1.35,119,41,64,Loamy,731,29.6,259.62
West Bengal,Darjeeling,Sugarcane,Annual,March,6.39,81,68,93,Loamy,1079,25.0,273.6
Andhra Pradesh,Kurnool,Sugarcane,Annual,December,3.41,104,73,72,Red,482,23.3,233.03
Karnataka,Mysore,Wheat,Kharif,January,6.49,57,79,23,Black,1087,33.2,25.87
Andhra Pradesh,Nellore,Wheat,Annual,January,5.98,119,65,47,Sandy,588,26.5,31.44
West Bengal,Kolkata,Rice,Zaid,June,1.14,83,36,35,Red,1036,32.0,24.2
Uttar Pradesh,Kanpur,Rice,Kharif,December,7.16,87,69,40,Red,946,23.7,25.19
Uttar Pradesh,Varanasi,Cotton,Annual,February,1.2,117,65,94,Sandy,477,27.2,26.71
Punjab,Patiala,Cotton,Rabi,July,8.61,154,52,49,Clay,450,27.5,33.97
West Bengal,Howrah,Sugarcane,Zaid,March,9.9,170,44,60,Loamy,736,27.7,309.12
West Bengal,Darjeeling,Wheat,Annual,March,8.02,136,48,90,Sandy,1058,32.9,43.2
West Bengal,Howrah,Cotton,Zaid,August,7.45,165,51,50,Black,761,21.1,29.96
Karnataka,Mysore,Tomato,Rabi,July,9.01,126,77,24,Sandy,800,20.3,219.71
Punjab,Ludhiana,Rice,Rabi,April,6.9,137,54,43,Black,649,25.7,27.94
Karnataka,Mandya,Cotton,Rabi,November,6.35,72,30,56,Black,597,23.2,17.99
West Bengal,Darjeeling,Wheat,Annual,October,7.46,144,91,73,Sandy,1076,30.8,35.16
Uttar Pradesh,Lucknow,Wheat,Rabi,May,5.94,54,88,54,Red,751,29.3,21.96
Andhra Pradesh,Guntur,Sugarcane,Rabi,February,4.22,152,37,20,Loamy,797,22.0,282.62
Punjab,Amritsar,Sugarcane,Rabi,September,9.53,182,59,91,Black,717,24.2,365.25
Karnataka,Mysore,Rice,Rabi,October,4.61,65,83,22,Red,705,23.4,23.4
Punjab,Ludhiana,Wheat,Rabi,August,4.15,66,51,78,Loamy,750,32.9,26.03
West Bengal,Howrah,Cotton,Annual,November,4.35,112,69,24,Clay,579,25.1,28.25
Karnataka,Mysore,Sugarcane,Zaid,March,4.12,88,80,97,Sandy,578,23.4,264.28
Punjab,Patiala,Corn,Zaid,May,5.41,72,60,77,Clay,1021,27.9,28.16
Tamil Nadu,Madurai,Rice,Zaid,June,2.33,95,81,51,Black,432,35.0,24.51
Andhra Pradesh,Kurnool,Wheat,Zaid,April,8.31,194,44,53,Loamy,437,33.6,38.87
Tamil Nadu,Madurai,Rice,Rabi,December,6.26,118,99,56,Sandy,698,20.1,38.67
Karnataka,Mandya,Wheat,Annual,April,8.3,88,40,72,Black,670,20.3,30.02
Uttar Pradesh,Varanasi,Rice,Annual,July,9.67,151,69,20,Black,764,27.7,38.07
Maharashtra,Nashik,Sugarcane,Kharif,May,6.19,52,71,86,Clay,1022,28.0,247.15
Tamil Nadu,Salem,Rice,Annual,February,2.31,83,32,80,Loamy,494,30.2,24.12
Tamil Nadu,Madurai,Cotton,Zaid,December,3.96,121,30,64,Black,534,21.6,25.62
Tamil Nadu,Madurai,Cotton,Kharif,January,2.72,175,76,88,Black,797,20.7,33.85
Uttar Pradesh,Varanasi,Corn,Kharif,December,6.08,59,41,43,Red,1033,33.8,26.52
West Bengal,Kolkata,Cotton,Rabi,March,6.82,83,78,63,Sandy,870,25.7,30.02
West Bengal,Darjeeling,Wheat,Annual,March,8.14,90,78,100,Clay,1003,27.5,35.05
Tamil Nadu,Madurai,Wheat,Annual,January,6.08,145,44,84,Sandy,428,27.0,37.81
Andhra Pradesh,Guntur,Rice,Rabi,May,4.64,111,97,29,Black,552,20.9,24.89
Karnataka,Belgaum,Tomato,Annual,January,8.95,121,38,59,Loamy,430,31.3,202.44
Punjab,Patiala,Tomato,Rabi,December,8.54,111,47,28,Black,407,22.6,123.61
Maharashtra,Nagpur,Tomato,Kharif,August,2.56,168,46,20,Sandy,866,32.5,207.2
Tamil Nadu,Thanjavur,Rice,Zaid,February,4.51,59,46,66,Clay,715,23.1,27.16
Maharashtra,Pune,Corn,Annual,January,3.44,61,38,97,Red,489,27.0,25.31
Tamil Nadu,Salem,Tomato,Zaid,August,5.83,156,52,22,Red,428,29.1,153.87
Andhra Pradesh,Nellore,Wheat,Annual,June,7.46,151,43,27,Red,999,24.0,31.22
Uttar Pradesh,Lucknow,Corn,Kharif,December,8.33,188,43,71,Loamy,786,26.7,34.35
Tamil Nadu,Thanjavur,Wheat,Rabi,July,2.02,101,48,51,Black,637,29.5,23.95
Uttar Pradesh,Varanasi,Wheat,Rabi,December,5.77,121,58,41,Sandy,966,28.1,25.87
Punjab,Ludhiana,Corn,Annual,June,2.89,83,74,24,Black,545,25.3,18.0
Tamil Nadu,Salem,Wheat,Annual,February,7.88,190,83,41,Sandy,440,28.4,41.47
Uttar Pradesh,Kanpur,Corn,Kharif,August,9.8,128,92,57,Loamy,853,31.7,40.03
Tamil Nadu,Salem,Rice,Annual,July,7.04,155,93,76,Clay,621,26.2,36.67
Andhra Pradesh,Nellore,Sugarcane,Kharif,March,5.38,199,73,89,Clay,875,23.8,464.36
Andhra Pradesh,Nellore,Wheat,Annual,June,3.89,190,70,80,Black,1123,21.3,40.16
Uttar Pradesh,Lucknow,Sugarcane,Rabi,January,9.83,192,46,56,Loamy,1132,29.0,435.49
Andhra Pradesh,Kurnool,Rice,Annual,February,6.78,168,49,88,Loamy,1077,31.7,36.46
Karnataka,Mandya,Rice,Zaid,November,6.23,105,32,32,Clay,780,23.3,21.51
West Bengal,Darjeeling,Corn,Kharif,September,5.43,144,61,21,Sandy,1078,30.8,26.31
Tamil Nadu,Salem,Cotton,Kharif,January,6.59,65,52,52,Red,1060,32.1,29.26
Karnataka,Mandya,Wheat,Rabi,February,5.93,97,82,93,Red,728,20.9,34.85
Maharashtra,Nashik,Rice,Kharif,May,1.12,148,98,25,Black,1042,30.9,38.23
Punjab,Amritsar,Corn,Kharif,August,2.51,115,75,57,Sandy,1107,32.4,37.63
Tamil Nadu,Thanjavur,Cotton,Annual,April,2.66,122,42,53,Sandy,618,26.9,24.53
Andhra Pradesh,Kurnool,Wheat,Annual,October,3.97,98,37,27,Clay,813,26.4,21.02
Karnataka,Belgaum,Rice,Kharif,May,4.0,112,66,26,Black,453,34.3,27.74
Karnataka,Mysore,Cotton,Kharif,June,7.65,120,48,31,Black,667,24.3,22.87
Maharashtra,Nashik,Corn,Kharif,November,8.29,125,53,50,Loamy,822,24.9,29.29
Maharashtra,Nagpur,Wheat,Annual,January,4.51,51,56,20,Clay,910,21.8,15.9
Karnataka,Mysore,Sugarcane,Zaid,January,1.58,70,39,81,Black,833,31.7,247.5
Maharashtra,Pune,Sugarcane,Kharif,April,8.75,51,66,31,Sandy,599,23.2,245.35
Maharashtra,Pune,Sugarcane,Kharif,March,9.72,115,30,42,Clay,822,33.7,261.06
West Bengal,Howrah,Cotton,Rabi,September,4.4,192,94,44,Loamy,840,33.6,41.14
Tamil Nadu,Thanjavur,Tomato,Zaid,May,7.66,76,33,29,Clay,526,31.7,105.57
Andhra Pradesh,Kurnool,Corn,Zaid,November,2.75,96,42,58,Loamy,1146,22.7,31.67
Punjab,Patiala,Corn,Zaid,September,4.94,56,54,47,Clay,1178,20.3,22.98
